Datum;ID;Lage;Qualität;Bemerkung;Quelle;Lange;Lat;Img
20.05.2021;999267;Zollikon / Seebad;Ausgezeichnet;;;47.33758878;8.568319857;
17.06.2021;999267;Zollikon / Seebad;Ausgezeichnet;Das ist ein Test.;;47.33758878;8.568319857;
20.05.2021;999194;Küsnacht / Kusenbad;Ausgezeichnet;;;47.3227105;8.576564031;
20.05.2021;999269;Oberrieden / Strandbad;Ausgezeichnet;;;47.27678272;8.581744764;
17.06.2021;999269;Oberrieden / Strandbad;Ausgezeichnet;;;47.27678272;8.581744764;
20.05.2021;999270;Thalwil / Strandbad Bürger 2;Ausgezeichnet;;;47.28993364;8.573591387;
17.06.2021;999270;Thalwil / Strandbad Bürger 2;Ausgezeichnet;;;47.28993364;8.573591387;
20.05.2021;999200;Thalwil / Strandbad Ludretikon;Ausreichend;;;47.30002785;8.564271932;
25.05.2021;999200;Thalwil / Strandbad Ludretikon;Ausgezeichnet;;;47.30002785;8.564271932;
20.05.2021;999272;Rüschlikon / Seebad;Ausgezeichnet;;;47.31291344;8.55643583;
17.06.2021;999272;Rüschlikon / Seebad;Ausgezeichnet;;;47.31291344;8.55643583;
20.05.2021;999273;Kilchberg / Seebad Schoren;Ausgezeichnet;;;47.31852105;8.554211951;
17.06.2021;999273;Kilchberg / Seebad Schoren;Ausgezeichnet;;;47.31852105;8.554211951;
20.05.2021;999195;Küsnacht / Strandbad;Ausgezeichnet;;;47.30972971;8.582979525;
17.06.2021;999195;Küsnacht / Strandbad;Ausgezeichnet;;;47.30972971;8.582979525;
20.05.2021;999203;Erlenbach / Badeanstalt Wyden;Ausgezeichnet;;;47.30570916;8.588368417;
20.05.2021;999276;Erlenbach / Strandbad Winkel;Ausgezeichnet;;;47.29740053;8.596149599;
17.06.2021;999276;Erlenbach / Strandbad Winkel;Ausgezeichnet;;;47.29740053;8.596149599;
20.05.2021;999277;Herrliberg / Steinrad;Ausgezeichnet;;;47.29139345;8.600435283;
17.06.2021;999277;Herrliberg / Steinrad;Ausgezeichnet;;;47.29139345;8.600435283;
31.05.2021;999278;Meilen / Strandbad Feldmeilen;Ausgezeichnet;;;47.27494658;8.62109299;
31.05.2021;999279;Meilen / Strandbad Ländeli;Ausgezeichnet;;;47.26321226;8.661150607;
17.06.2021;999279;Meilen / Strandbad Ländeli;Ausgezeichnet;;;47.26321226;8.661150607;
31.05.2021;999280;Meilen / Strandbad Dorfmeilen;Ausgezeichnet;;;47.2680104;8.515598716;
31.05.2021;999281;Horgen / Parkbad Seerose;Ausgezeichnet;;;47.26295734;8.594306389;
31.05.2021;999282;Horgen / Sportbad Käpfnach;Ausgezeichnet;;;47.25555171;8.617624794;
